Item,Title,Price,Image_link
Apple,iPad Pro 2017 (256GB) WIFI+CELLULARE," 77,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/382/large/ipad_pro_2017.jpg?1558251406
Apple,iPad Pro 2017 (64GB) WIFI+Cellulare," 62,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/382/large/ipad_pro_2017.jpg?1558251406
Apple,iPad 9.7 (2GB&32GB) WIFI," 32,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/382/large/ipad_pro_2017.jpg?1558251406
Apple,iPhone 8 (64GB)," 47,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/382/large/ipad_pro_2017.jpg?1558251406
Apple,iPhone XS MAX (512GB)," 107,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/371/large/iphone_XS_max.jpg?1558249803
Apple,iPhone XS MAX DUAL (256GB)," 115,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/371/large/iphone_XS_max.jpg?1558249803
Apple,iPhone XS MAX (256GB)," 99,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/371/large/iphone_XS_max.jpg?1558249803
Apple,iPhone XS MAX (64GB)," 89,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/371/large/iphone_XS_max.jpg?1558249803
Apple,iPhone XR (256GB)," 78,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/359/large/iphone_xr.jpg?1558249266
Apple,iPhone XR (128GB) Dual," 75,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/359/large/iphone_xr.jpg?1558249266
Apple,iPhone XR (128GB)," 67,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/359/large/iphone_xr.jpg?1558249266
Apple,iPhone XR (64GB)," 61,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/359/large/iphone_xr.jpg?1558249266
Apple,Iphone XS (64GB)," 83,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/351/large/iphone_XS.jpg?1558248812
Oppo,A1K," 11,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/413/large/afsasg34wte.jpg?1558193008
Oppo,F11 Pro (6GB & 128GB)," 36,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/413/large/afsasg34wte.jpg?1558193008
Oppo,F11 (4GB & 128GB)," 27,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/413/large/afsasg34wte.jpg?1558193008
Oppo,R17 Pro," 69,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/413/large/afsasg34wte.jpg?1558193008
Oppo,A7 (3Gb & 32GB)," 17,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/404/large/a7777.jpg?1558192012
Oppo,A7 (4GB & 64GB)," 19,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/404/large/a7777.jpg?1558192012
Oppo,A3s," 10,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/404/large/a7777.jpg?1558192012
Samsung,Galaxy M10 (2GB & 16GB) Official," 10,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/448/large/asdsadawfqw.jpg?1558237884
Samsung,Galaxy A30 (4GB & 64GB)," 16,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/448/large/asdsadawfqw.jpg?1558237884
Samsung,Galaxy A10 (2/32GB) Official," 11,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/448/large/asdsadawfqw.jpg?1558237884
Samsung,Note 9 (6GB & 128GB)," 49,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/448/large/asdsadawfqw.jpg?1558237884
Samsung,Galaxy M20 Unofficial (3GB & 32GB)," 13,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/435/large/m20.jpg?1558224463
Samsung,Galaxy S10 Plus (8GB & 128GB)," 62,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/435/large/m20.jpg?1558224463
Samsung,Galaxy S10 Duos (8GB & 128GB)," 55,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/435/large/m20.jpg?1558224463
Samsung,Galaxy A20 Official (3GB & 32GB)," 15,199.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/435/large/m20.jpg?1558224463
Samsung,Galaxy A50 Official (4GB & 64GB)," 23,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/354/large/a50.jpg?1558184660
Samsung,Galaxy A50 Unofficial (6GB & 128GB)," 23,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/354/large/a50.jpg?1558184660
xiaomi,Mi Mix 3(6GB&128GB)," 42,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/285/large/Mi_mix_3.jpg?1558242116
xiaomi,Mi 9 SE(6GB & 128GB)," 31,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/285/large/Mi_mix_3.jpg?1558242116
xiaomi,Mi 9 SE (6GB & 64GB)," 27,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/285/large/Mi_mix_3.jpg?1558242116
xiaomi,Mi 9 (6GB & 128GB)," 42,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/285/large/Mi_mix_3.jpg?1558242116
xiaomi,Mi 9 (6GB & 64GB," 39,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/731/large/miii_99.jpg?1558239617
xiaomi,A2 lite (3GB & 32GB)," 12,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/731/large/miii_99.jpg?1558239617
xiaomi,Mi A2 (4GB & 64GB)," 15,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/731/large/miii_99.jpg?1558239617
xiaomi,Pocophone F1 (6GB & 128GB)," 27,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/731/large/miii_99.jpg?1558239617
xiaomi,Pocophone F1 (6GB & 64GB)," 25,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/450/large/pocophone.jpg?1558238490
xiaomi,Note 7 (4GB & 128GB)," 19,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/450/large/pocophone.jpg?1558238490
xiaomi,Note 7 Global (3GB & 32GB)," 16,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/450/large/pocophone.jpg?1558238490
xiaomi,Note 7 Global (4GB & 64GB)," 17,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/450/large/pocophone.jpg?1558238490
xiaomi,Note 7 Chinese (4GB & 64GB)," 16,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/347/large/Product.jpg?1558184155
huawei,Y9 2019 Official," 21,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/554/large/y9_2019.jpg?1558270876
huawei,Y9 2018 Official," 16,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/554/large/y9_2019.jpg?1558270876
huawei,Y7 Pro 2019 Official," 16,199.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/554/large/y9_2019.jpg?1558270876
huawei,Y6 Pro 2019 Official," 12,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/554/large/y9_2019.jpg?1558270876
huawei,Nova 3i (4GB & 128GB)," 19,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/545/large/Nova_3i.jpg?1558270254
huawei,Nova 3i (4GB & 128GB) Official," 21,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/545/large/Nova_3i.jpg?1558270254
huawei,Nova 4 (8GB & 128GB)," 39,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/545/large/Nova_3i.jpg?1558270254
huawei,Huawei Mate 20 Pro (Unofficial)," 54,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/545/large/Nova_3i.jpg?1558270254
huawei,Y5 2019," 9,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/537/large/y5.jpg?1558268777
huawei,Huawei P30 Pro Official," 84,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/537/large/y5.jpg?1558268777
huawei,Huawei P30 Official," 62,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/537/large/y5.jpg?1558268777
huawei,P30 Lite Official," 27,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/537/large/y5.jpg?1558268777
honor,Honor View 20 (6GB & 128GB)," 41,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/433/large/dsdasdas.jpg?1558196053
honor,Honor 9N (3GB & 32GB)," 12,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/433/large/dsdasdas.jpg?1558196053
honor,Honor 9N (4GB & 64GB)," 14,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/433/large/dsdasdas.jpg?1558196053
honor,Honor Play Global," 22,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/433/large/dsdasdas.jpg?1558196053
honor,HONOR 8X," 20,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/424/large/8Xsss.jpg?1558195333
honor,Honor 8C (4GB & 64Gb)," 13,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/424/large/8Xsss.jpg?1558195333
honor,Honor 9 Lite (4GB & 64GB)," 13,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/424/large/8Xsss.jpg?1558195333
realme,Realme 3," 13,499.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/246/large/realme_3.jpg?1558167459
realme,Realme 3 Pro," 18,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/246/large/realme_3.jpg?1558167459
vivo,Y93," 13,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/569/large/Y93_TK._13_990.jpg?1558276090
vivo,Y91i," 12,500.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/569/large/Y93_TK._13_990.jpg?1558276090
vivo,Y91," 14,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/569/large/Y93_TK._13_990.jpg?1558276090
vivo,Y17," 22,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/569/large/Y93_TK._13_990.jpg?1558276090
vivo,Y95," 1,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/561/large/vivo_y95___TK19_990.jpg?1558275733
vivo,V15," 29,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/561/large/vivo_y95___TK19_990.jpg?1558275733
vivo,V15 Pro," 39,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/707/561/large/vivo_y95___TK19_990.jpg?1558275733
oneplus,Oneplus 6T (8GB & 128GB)," 53,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/396/large/asdasdasdasdsa.jpg?1558190780
oneplus,Oneplus 6 (8GB/128GB)," 44,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/396/large/asdasdasdasdsa.jpg?1558190780
oneplus,OnePlus 5T (8GB/128GB)," 34,990.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/396/large/asdasdasdasdsa.jpg?1558190780
umidigi,Umidigi A3 (2GB & 16GB)," 7,999.0",https://dtt1c9id3txwq.cloudfront.net/assets/images/000/706/397/large/sdasddasd.jpg?1558191383
